,0
0,
1,"[['x, y, z']]"
2,"[['x, y, z', '-x, -y, -z'], ['1/2, 1/2, 1/2'], ['0, 1/2, 1/2'], ['1/2, 0, 1/2'], ['1/2, 1/2, 0'], ['1/2, 0, 0'], ['0, 1/2, 0'], ['0, 0, 1/2'], ['0, 0, 0']]"
3,"[['x, y, z', '-x, y, -z'], ['1/2, y, 1/2'], ['1/2, y, 0'], ['0, y, 1/2'], ['0, y, 0']]"
4,"[['x, y, z', '-x, y+1/2, -z']]"
5,"[['x, y, z', '-x, y, -z', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z'], ['0, y, 1/2', '1/2, y+1/2, 1/2'], ['0, y, 0', '1/2, y+1/2, 0']]"
6,"[['x, y, z', 'x, -y, z'], ['x, 1/2, z'], ['x, 0, z']]"
7,"[['x, y, z', 'x, -y, z+1/2']]"
8,"[['x, y, z', 'x, -y, z', 'x+1/2, y+1/2, z', 'x+1/2, -y+1/2, z'], ['x, 0, z', 'x+1/2, 1/2, z']]"
9,"[['x, y, z', 'x, -y, z+1/2', 'x+1/2, y+1/2, z', 'x+1/2, -y+1/2, z+1/2']]"
10,"[['x, y, z', '-x, y, -z', '-x, -y, -z', 'x, -y, z'], ['x, 1/2, z', '-x, 1/2, -z'], ['x, 0, z', '-x, 0, -z'], ['1/2, y, 1/2', '1/2, -y, 1/2'], ['0, y, 1/2', '0, -y, 1/2'], ['1/2, y, 0', '1/2, -y, 0'], ['0, y, 0', '0, -y, 0'], ['1/2, 1/2, 1/2'], ['1/2, 0, 1/2'], ['0, 1/2, 1/2'], ['1/2, 1/2, 0'], ['1/2, 0, 0'], ['0, 0, 1/2'], ['0, 1/2, 0'], ['0, 0, 0']]"
11,"[['x, y, z', '-x, y+1/2, -z', '-x, -y, -z', 'x, -y+1/2, z'], ['x, 1/4, z', '-x, 3/4, -z'], ['1/2, 0, 1/2', '1/2, 1/2, 1/2'], ['0, 0, 1/2', '0, 1/2, 1/2'], ['1/2, 0, 0', '1/2, 1/2, 0'], ['0, 0, 0', '0, 1/2, 0']]"
